agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
USGS	14064500	00060	5	1945	4	950.6
USGS	14064500	00060	5	1945	5	1199
USGS	14064500	00060	5	1945	6	1264
USGS	14064500	00060	5	1945	7	1534
USGS	14064500	00060	5	1945	8	1496
USGS	14064500	00060	5	1945	9	1302
USGS	14064500	00060	5	1945	10	1192
USGS	14064500	00060	5	1945	11	933.2
USGS	14064500	00060	5	1945	12	705.6
USGS	14064500	00060	5	1946	1	819.1
USGS	14064500	00060	5	1946	2	707.7
USGS	14064500	00060	5	1946	3	799.1
USGS	14064500	00060	5	1946	4	947.3
USGS	14064500	00060	5	1946	5	1673
USGS	14064500	00060	5	1946	6	1689
USGS	14064500	00060	5	1946	7	1757
USGS	14064500	00060	5	1946	8	1916
USGS	14064500	00060	5	1946	9	1855
USGS	14064500	00060	5	1946	10	1641
USGS	14064500	00060	5	1946	11	1083
USGS	14064500	00060	5	1946	12	985.3
USGS	14064500	00060	5	1947	1	842.8
USGS	14064500	00060	5	1947	2	952.5
USGS	14064500	00060	5	1947	3	1053
USGS	14064500	00060	5	1947	4	1259
USGS	14064500	00060	5	1947	5	1622
USGS	14064500	00060	5	1947	6	1618
USGS	14064500	00060	5	1947	7	1892
USGS	14064500	00060	5	1947	8	1718
USGS	14064500	00060	5	1947	9	1541
USGS	14064500	00060	5	1947	10	1294
USGS	14064500	00060	5	1947	11	635.4
USGS	14064500	00060	5	1947	12	669.6
USGS	14064500	00060	5	1948	1	609.3
USGS	14064500	00060	5	1948	2	591.1
USGS	14064500	00060	5	1948	3	580.5
USGS	14064500	00060	5	1948	4	901.6
USGS	14064500	00060	5	1948	5	1408
USGS	14064500	00060	5	1948	6	1640
USGS	14064500	00060	5	1948	7	2215
USGS	14064500	00060	5	1948	8	2027
USGS	14064500	00060	5	1948	9	2032
USGS	14064500	00060	5	1948	10	1326
USGS	14064500	00060	5	1948	11	583.7
USGS	14064500	00060	5	1948	12	569.4
USGS	14064500	00060	5	1949	1	542.9
USGS	14064500	00060	5	1949	2	651.8
USGS	14064500	00060	5	1949	3	795.5
